,Threshold,F1,Jaccard
0,0.5,0.9141996335929378,0.8615150026109835
1,0.55,0.9044040144052167,0.8615150026109835
2,0.6000000000000001,0.89651190261937,0.8615150026109835
3,0.6500000000000001,0.885649509011248,0.8615150026109835
4,0.7000000000000002,0.8775059109816887,0.8615150026109835
5,0.7500000000000002,0.8614394885183767,0.8615150026109835
6,0.8000000000000003,0.8478741700471424,0.8615150026109835
7,0.8500000000000003,0.823032596687258,0.8615150026109835
8,0.9000000000000004,0.7307831774287737,0.8615150026109835
9,0.9500000000000004,0.27184511772603104,0.8615150026109835
