x	y	class	name	color
956.4943165257943	41.631011366948414		no label	0
374.5348314606742	77.44719101123596		no label	0
129.3889293517844	130.4231609613984		no label	0
703.7207803518551	248.69778784183939		no label	0
14.856017191977077	232.1611747851003		no label	0
312.0732600732601	274.83443223443226		no label	0
2.29	356.92		no label	0
858.1040145985402	368.5711678832117		no label	0
616.8565668202765	384.6607142857143		no label	0
340.3109619686801	422.6957494407159		no label	0
294.05631868131866	431.5590659340659		no label	0
381.9987596899225	493.9559689922481		no label	0
422.97849462365593	507.1505376344086		no label	0
355.5546875	518.3203125		no label	0
183.82254697286012	593.0125260960334		no label	0
495.57598371777476	603.3453188602442		no label	0
631.0983284169125	615.3731563421829		no label	0
338.4953161592506	634.6949648711944		no label	0
403.31152460984396	636.7412965186074		no label	0
45.606162089752175	636.5646349631614		no label	0
254.75879682179342	662.4387060158911		no label	0
712.0683559222157	667.6328815556865		no label	0
938.6713404374649	690.3073471676948		no label	0
485.61490978157644	696.9107312440646		no label	0
106.97921146953405	707.0652329749104		no label	0
168.54831625183016	704.106149341142		no label	0
856.1359363702097	709.0462762111353		no label	0
6.300738007380073	737.7047970479705		no label	0
621.4652908067542	746.6172607879924		no label	0
256.24968071519794	760.8946360153257		no label	0
757.0591939546599	770.2997481108313		no label	0
354.6967113276492	769.7448233861145		no label	0
525.0178823529412	793.9378823529412		no label	0
421.5998920086393	802.244060475162		no label	0
649.9298429319372	826.9471204188482		no label	0
187.68968192397207	843.0535298681148		no label	0
90.16228859301907	881.7589060813242		no label	0
453.1208791208791	884.8605769230769		no label	0
301.3959694989107	936.5778867102397		no label	0
388.3958477508651	937.8069204152249		no label	0
523.4109934442763	951.8870398386283		no label	0
686.6183431952662	939.0828402366864		no label	0
140.92685185185184	955.1898148148148		no label	0
13.637903225806452	991.9153225806451		no label	0
170.92514395393474	1046.6031669865642		no label	0
271.3733518390007	1049.4795281054824		no label	0
451.13922155688624	1065.6833832335328		no label	0
662.8272484416741	1084.4897595725736		no label	0
718.1192810457517	1085.0955882352941		no label	0
774.6626016260162	1086.5056910569106		no label	0
21.269565217391303	1087.7195652173914		no label	0
144.1813725490196	1100.3921568627452		no label	0
