x	y	class	name	color
458.7320419693301	20.493946731234868		no label	0
738.0760434534019	15.10863350485992		no label	0
823.2122641509434	17.362264150943396		no label	0
877.703125	2.9583333333333335		no label	0
1012.8434291581109	21.15246406570842		no label	0
168.41482300884957	29.367809734513273		no label	0
27.645129224652088	51.84890656063618		no label	0
616.019504876219	53.50787696924231		no label	0
150.12280701754386	42.5921052631579		no label	0
297.74876499647144	65.87226534932957		no label	0
621.4126984126984	76.03809523809524		no label	0
120.30749874182185	119.34977352793155		no label	0
479.0297092288243	122.5290771175727		no label	0
46.32637075718016	125.25848563968668		no label	0
264.59059474412174	149.60442600276625		no label	0
387.88005850804484	202.39639200390053		no label	0
128.87824074074075	212.90555555555557		no label	0
248.31389945078158	300.3164343050275		no label	0
616.1620253164557	383.3257383966245		no label	0
585.6744444444445	385.66		no label	0
11.363468634686347	401.3579335793358		no label	0
15.98989898989899	426.19191919191917		no label	0
25.15695067264574	476.28195067264573		no label	0
568.8678655199375	514.453479280688		no label	0
601.6101949025488	551.9107946026986		no label	0
646.2163958641064	576.6994091580502		no label	0
592.0424886191199	633.8125948406677		no label	0
620.516129032258	636.0967741935484		no label	0
75.24349334875652	707.9378253325622		no label	0
1086.8849789915967	761.5189075630252		no label	0
1007.8218227688426	801.4998423210344		no label	0
219.31167763157896	801.2261513157895		no label	0
290.95272435897436	816.7860576923077		no label	0
191.95762711864407	831.5927218344965		no label	0
1003.1904761904761	847.0714285714286		no label	0
757.8400576368877	885.2195004803074		no label	0
140.08180088776157	899.8256182625238		no label	0
1091.7005235602094	954.8853403141361		no label	0
303.03771890435564	958.1827570722945		no label	0
226.71206225680933	975.7016861219196		no label	0
719.3559837728195	1053.844489519946		no label	0
527.2126772310259	1072.4270225187656		no label	0
