,Threshold,F1,Jaccard
0,0.5,0.8990961571305259,0.8441454587406388
1,0.55,0.8846901711165065,0.8441454587406388
2,0.6000000000000001,0.8758897984168605,0.8441454587406388
3,0.6500000000000001,0.8673363392975049,0.8441454587406388
4,0.7000000000000002,0.8540269113096424,0.8441454587406388
5,0.7500000000000002,0.8118484178764108,0.8441454587406388
6,0.8000000000000003,0.7669514665040091,0.8441454587406388
7,0.8500000000000003,0.7063085529193145,0.8441454587406388
8,0.9000000000000004,0.6089410648573639,0.8441454587406388
9,0.9500000000000004,0.1868488872372142,0.8441454587406388
