x	y	class	name	color
257.00396825396825	3.8015873015873014		no label	0
394.12923289564617	14.484450587422254		no label	0
873.8910891089109	5.356435643564357		no label	0
907.3025594149908	20.042047531992687		no label	0
194.44937176644493	28.5609756097561		no label	0
867.4583710407239	41.010407239819		no label	0
334.503963011889	58.42338177014531		no label	0
758.4956105347167	62.29662144187284		no label	0
207.5586630286494	92.68417462482947		no label	0
134.7038377986966	106.58508327299059		no label	0
402.3625	131.4505		no label	0
336.3562790697674	167.97906976744187		no label	0
1083.3241678726483	232.6085383502171		no label	0
929.239907727797	308.57900807381776		no label	0
953.35546875	334.2454427083333		no label	0
842.3284710967044	384.7466234467855		no label	0
933.5128342245989	381.88823529411764		no label	0
875.6977509599561	402.6791003839825		no label	0
553.6585163696643	409.2213012847078		no label	0
590.1959558823529	450.24779411764706		no label	0
643.4563318777292	475.6768558951965		no label	0
621.0465230166503	652.4329089128306		no label	0
39.49805447470817	748.8346303501945		no label	0
141.36210680321872	759.8068763716167		no label	0
47.69010629599346	803.1995094031071		no label	0
152.9334880123743	833.6511987625677		no label	0
1066.5495469161065	848.7755042385268		no label	0
201.99113082039912	910.4449371766445		no label	0
248.10062590274435	924.9393355801637		no label	0
1043.304730831974	959.1513866231647		no label	0
942.63	963.6117857142857		no label	0
302.7642642642643	971.225975975976		no label	0
232.6114488348531	980.8145896656534		no label	0
